ID,followers
1631758140,"796830388610011136,130971502,474436312,252766425,14246171"
796830388610011136,"278802252,386263630,330509973,179732982,42070873"
130971502,"205299497,30044682,1390794001,365230261,2463653724"
474436312,"31184038,369352648,442296361,153966123,19226515"
252766425,"705489583870377984,710337844267462657,19327500,223671790,409719505"
14246171,"713563076692279297,15996553,16939148,3437247321,1631758140"
278802252,"970164660153430016,3935544673,968435965684404224"
386263630,107432435
330509973,"941121630939566080,358076778"
179732982,"825863065350529024,941754604118831105,58351787,631409074,2818654580"
42070873,206715950
205299497,
30044682,"32989472,111565284,391005035,130971502,183665502"
1390794001,"7973512,104159149,130971502,17902389,125853084"
365230261,"18762793,432365580,130971502,145377518,3526650196"
2463653724,"20607586,29207365,18947832,15844989,1181134878"
31184038,
369352648,971132091957170178
442296361,"967448700875431936,788427846163324928,2170298048,33537161,19414346"
153966123,
19226515,863936147491127297
705489583870377984,"739187737920692224,3249162277,110729352,1597156458,972040446"
710337844267462657,"837407101102223360,2932942216,2927825419,15115280,704778428"
19327500,"61242633,309612521,113269648,1296010872,54938044"
223671790,"862525293449424896,922186795030212608,808061682085953536,809521836144762884,2272139178"
409719505,
713563076692279297,"887319779488518144,2245418471,368998377,22946669,23818747"
15996553,"26735842,16667912,386263630,71036272,2743837173"
16939148,
3437247321,"15505688,14246171,15467165,402066318"
970164660153430016,"911706234,278802252,23653818,2257035571,472219610"
